CLUSTER 0
 - members:
        username: erica (0.359085)                 repo: rails/rails (17.6%)
        username: jhaynie (0.172327)                repo: github/hubot (9.4%)
        username: ioptics (0.171945)                repo: dhgamache/Skeleton (9.4%)
        username: git (0.171895)                    repo: LearnBoost/socket.io-client (9.4%)
        username: nathansmith (0.171765)            repo: square/crossfilter (9.4%)
        username: toastdriven (0.170917)            repo: LockerProject/Locker (9.4%)
        username: alkemist (0.169940)               repo: mozilla/narcissus (9.4%)
        username: akdubya (0.168690)                repo: mozilla/pdf.js (9.4%)
        username: scottgonzalez (0.168044)          repo: ericflo/hurricane (9.4%)
        username: fzzzy (0.167961)                  repo: cowboy/grunt (9.4%)
        username: BBB (0.167828)                    repo: madrobby/keymaster (8.2%)
        username: buzzedword (0.167527)             repo: travis-ci/travis-ci (8.2%)
        username: cdickmann (0.167421)              repo: javan/whenever (8.2%)
        username: jdunck (0.167077)                 repo: EightMedia/hammer.js (8.2%)
        username: silentbicycle (0.166943)          repo: micha/resty (8.2%)
        username: vlm (0.165906)                    repo: caolan/async (8.2%)
        username: iainurquhart (0.165134)           repo: tbranyen/backbone-boilerplate (8.2%)
        username: jgeewax (0.164870)                repo: mnutt/hummingbird (8.2%)
        username: zachstronaut (0.164334)           repo: BigZaphod/Chameleon (8.2%)
        username: andrew (0.164275)                 repo: cloudhead/vows (8.2%)
        username: elliottcable (0.163601)           repo: cappuccino/cappuccino (8.2%)
        username: TooTallNate (0.163233)            repo: faye/faye (8.2%)
        username: anselmo (0.163176)                repo: joyent/http-parser (8.2%)
        username: voodoochild (0.163176)            repo: benoitc/gunicorn (8.2%)
        username: rohannog (0.163176)               repo: pinax/pinax (8.2%)
        username: ryderr (0.163176)                 repo: visionmedia/mocha (8.2%)
        username: brown (0.162806)                  repo: LearnBoost/stylus (8.2%)
        username: marshall (0.162748)               repo: luvit/luvit (8.2%)
        username: wess (0.161995)                   repo: etsy/statsd (7.1%)
        username: zynga (0.161725)                  repo: joehewitt/scrollability (7.1%)
        username: Araq (0.157443)                   repo: mitsuhiko/logbook (7.1%)
        username: flipflop (0.156100)               repo: jondot/graphene (7.1%)
        username: bengl3rt (0.154685)               repo: schacon/showoff (7.1%)

CLUSTER 11
 - members:
        username: tomedme (0.334199)                repo: django-debug-toolbar/django-debug-toolbar (16.7%)
        username: andreasgal (0.301856)             repo: mxcl/homebrew (15.3%)
        username: erkyrath (0.301093)               repo: nvie/gitflow (15.3%)
        username: skabber (0.279684)                repo: defunkt/jquery-pjax (12.5%)
        username: benpickles (0.271028)             repo: toastdriven/django-haystack (12.5%)
        username: bryanveloso (0.259223)            repo: defunkt/hub (12.5%)
        username: topfunky (0.252364)               repo: django/django-old (12.5%)
        username: jhollingworth (0.241368)          repo: pinax/pinax (12.5%)
        username: omega4650 (0.237468)              repo: kennethreitz/osx-gcc-installer (11.1%)
        username: timburks (0.236344)               repo: harvesthq/chosen (11.1%)
        username: jezdez (0.234674)                 repo: django/django (11.1%)
        username: leah (0.234369)                   repo: brosner/django-reusable-app-docs (9.7%)
        username: josh (0.224322)                   repo: ericflo/django-pagination (9.7%)
        username: froydnj (0.217413)                repo: joyent/node (9.7%)
        username: brianmario (0.211139)             repo: alex/django-filter (9.7%)
        username: johndwells (0.209070)             repo: github/gitignore (9.7%)
        username: lenn0x (0.207504)                 repo: jashkenas/coffee-script (9.7%)
        username: gnooth (0.207448)                 repo: lincolnloop/django-best-practices (9.7%)
        username: dom96 (0.204166)                  repo: jnunemaker/httparty (9.7%)
        username: BrendanEich (0.203050)            repo: celery/celery (9.7%)
        username: rkh (0.202033)                    repo: toastdriven/django-tastypie (9.7%)
        username: joehewitt (0.192943)              repo: sstephenson/rbenv (9.7%)
        username: brosner (0.192825)                repo: github/gollum (9.7%)
        username: DavidKinder (0.192362)            repo: mojombo/jekyll (9.7%)
        username: membase (0.191401)                repo: ccgus/letters (9.7%)
        username: indeyets (0.189300)               repo: darwin/firepython (8.3%)
        username: kr (0.188307)                     repo: nathanborror/django-basic-apps (8.3%)
        username: ericholscher (0.186877)           repo: saymedia/remoteobjects (8.3%)
        username: mattt (0.186071)                  repo: github/linguist (8.3%)
        username: richcollins (0.185764)            repo: micha/resty (8.3%)
        username: kayleg (0.185160)                 repo: rails/rails (8.3%)
        username: benjaminoakes (0.184402)          repo: antirez/redis (8.3%)
        username: example42 (0.183622)              repo: 37signals/pow (8.3%)
        username: jtauber (0.180820)                repo: rack/rack (8.3%)
        username: jvinding (0.179348)               repo: defunkt/hurl (8.3%)
        username: nibrahim (0.178734)               repo: github/hubot (8.3%)
        username: pengwynn (0.178487)               repo: bartaz/impress.js (8.3%)
        username: ziz (0.175912)                    repo: kripken/emscripten (8.3%)
        username: kbranigan (0.175558)              repo: brotherbard/gitx (8.3%)
        username: eldarion (0.174242)               repo: mozilla/pdf.js (8.3%)
        username: howiworkdaily (0.172086)          repo: aanand/deadweight (8.3%)
        username: andrewjbaker (0.171969)           repo: pieter/gitx (8.3%)
        username: mxcl (0.171693)                   repo: jquery/sizzle (8.3%)
        username: idan (0.170256)                   repo: brosner/django-groups (6.9%)
        username: kamipo (0.169183)                 repo: chriseppstein/compass (6.9%)
        username: gregnewman (0.168703)             repo: madrobby/zepto (6.9%)
        username: Strubbl (0.168600)                repo: garethr/django-test-extensions (6.9%)
        username: vogievetsky (0.168482)            repo: igrigorik/em-websocket (6.9%)
        username: alevett (0.167575)                repo: robbyrussell/oh-my-zsh (6.9%)
        username: adamgibbins (0.167421)            repo: clintecker/python-googleanalytics (6.9%)
        username: vorporeal (0.167421)              repo: brosner/django-notification (6.9%)
        username: trivoallan (0.167421)             repo: brosner/django-app-test-runner (6.9%)
        username: spoletto (0.166966)               repo: sstephenson/sprockets (6.9%)
        username: londonhackspace (0.166618)        repo: mnutt/hummingbird (6.9%)
        username: wandernauta (0.166440)            repo: twitter/twui (6.9%)
        username: clintecker (0.166389)             repo: cloudhead/less (6.9%)
        username: tobeytailor (0.166190)            repo: github/dmca (6.9%)
        username: lincolnloop (0.165694)            repo: brosner/oebfare (6.9%)
        username: pledbrook (0.165450)              repo: BigZaphod/Chameleon (6.9%)
        username: miyagawa (0.165351)               repo: progrium/hookah (6.9%)
        username: rocky (0.165082)                  repo: svetlyak40wt/django-perfect404 (6.9%)
        username: mynyml (0.165028)                 repo: cappuccino/cappuccino (6.9%)
        username: sehwoo (0.163809)                 repo: htty/htty (6.9%)
        username: nathanborror (0.163773)           repo: jquery/jquery (6.9%)
        username: jnoller (0.163358)                repo: fabric/fabric (6.9%)
        username: Gipetto (0.163176)                repo: necolas/normalize.css (6.9%)
        username: fangsgiving (0.163176)            repo: defunkt/github-gem (6.9%)
        username: migueldeicaza (0.162154)          repo: dinoboff/github-tools (6.9%)
        username: freakboy3742 (0.161943)           repo: theju/django-comments-apps (6.9%)
        username: chrisdone (0.159264)              repo: benoitc/gunicorn (6.9%)
        username: kselden (0.157869)                repo: skabber/django-omb (6.9%)
        username: mkelley33 (0.149909)              repo: leah/django-elsewhere (6.9%)

CLUSTER 12
 - members:
        username: rtomayko (0.403872)                repo: bartaz/impress.js (14.5%)
        username: torvalds (0.321573)                repo: nddrylliog/rock (11.8%)
        username: ebeigarts (0.298114)               repo: rails/rails (10.5%)
        username: steipete (0.271365)                repo: joyent/node (9.2%)
        username: duckinator (0.270680)              repo: stevedekorte/io (9.2%)
        username: elbiczel (0.269307)                repo: jbarnette/johnson (7.9%)
        username: nddrylliog (0.263975)              repo: mxcl/homebrew (7.9%)
        username: douglascrockford (0.258594)        repo: rsms/kod (7.9%)
        username: rlane (0.253291)                   repo: kennethreitz/osx-gcc-installer (7.9%)
        username: hakanensari (0.253205)             repo: twitter/twui (7.9%)
        username: stevedekorte (0.249400)            repo: tsion/oos (7.9%)
        username: markchadwick (0.241786)            repo: defunkt/resque (7.9%)
        username: stevej (0.235293)                  repo: mojombo/jekyll (7.9%)
        username: malcolmt (0.231239)                repo: mozilla/rust (7.9%)
        username: ahoward (0.230321)                 repo: nddrylliog/ooc (7.9%)
        username: graydon (0.219883)                 repo: mislav/will_paginate (6.6%)
        username: danopia (0.219004)                 repo: GenTiradentes/tinyvm (6.6%)
        username: danwrong (0.216641)                repo: javan/whenever (6.6%)
        username: holman (0.216611)                  repo: thoughtbot/paperclip (6.6%)
        username: rsc (0.209263)                     repo: lg/murder (6.6%)
        username: showstopper (0.208424)             repo: nddrylliog/nagaqueen (6.6%)
        username: rlivsey (0.207383)                 repo: stonean/slim (6.6%)
        username: fredreichbier (0.206895)           repo: robbyrussell/oh-my-zsh (6.6%)
        username: enesf (0.206419)                   repo: defunkt/jquery-pjax (6.6%)
        username: radnor (0.205628)                  repo: nddrylliog/oc (6.6%)
        username: rlightner (0.205628)               repo: intridea/grape (6.6%)
        username: ldunn (0.199040)                   repo: mojombo/proxymachine (6.6%)
        username: ooc (0.198033)                     repo: jnicklas/carrierwave (6.6%)
        username: nilium (0.193876)                  repo: twitter/bootstrap (6.6%)
        username: protocool (0.190828)               repo: jezdez/textmate-missingdrawer (6.6%)
        username: timon (0.188647)                   repo: BigZaphod/Chameleon (6.6%)
        username: dan (0.188453)                     repo: defunkt/mustache (6.6%)
        username: sproutit (0.187698)                repo: rtomayko/tilt (6.6%)
        username: joshaber (0.185329)                repo: 37signals/pow (6.6%)
        username: atmnyc (0.185280)                  repo: harvesthq/chosen (6.6%)
        username: m3talsmith (0.185006)              repo: defunkt/dotjs (6.6%)
        username: railstutorial (0.184402)           repo: ooc/middleearth (6.6%)
        username: aaronzirbes (0.184402)             repo: plataformatec/simple_form (6.6%)
        username: svenfuchs (0.182392)               repo: ooc/llamacore (6.6%)
        username: maddox (0.181323)                  repo: sinatra/sinatra (6.6%)
        username: oleganza (0.179784)                repo: binarylogic/authlogic (6.6%)
        username: akovalenko (0.179752)              repo: brotherbard/gitx (6.6%)
        username: robashton (0.179085)               repo: fredreichbier/ooc-yajl (5.3%)
        username: jstoker (0.176497)                 repo: mattgemmell/MGTwitterEngine (5.3%)
        username: XAMPP (0.175910)                   repo: rubyredrick/ri_cal (5.3%)
        username: aboodman (0.174605)                repo: torvalds/linux (5.3%)
        username: erikreagan (0.174047)              repo: mape/node-wargames (5.3%)
        username: GillesHaverbeke (0.173789)         repo: chriseppstein/compass (5.3%)
        username: TwP (0.171939)                     repo: nje/jquery-tmpl (5.3%)
        username: mloughran (0.171582)               repo: brynary/webrat (5.3%)
        username: jlongster (0.171107)               repo: schacon/showoff (5.3%)
        username: ubernostrum (0.169968)             repo: github/github-services (5.3%)
        username: tanoku (0.168706)                  repo: thoughtbot/clearance (5.3%)
        username: mikeash (0.167941)                 repo: libgit2/libgit2 (5.3%)
        username: trollsid (0.167421)                repo: rentzsch/mogenerator (5.3%)
        username: jdp (0.167233)                     repo: github/gitignore (5.3%)
        username: android (0.167036)                 repo: ajaxorg/ace (5.3%)
        username: paulp (0.166211)                   repo: intridea/omniauth (5.3%)
        username: fpanwaskar (0.165897)              repo: nddrylliog/bootcamp (5.3%)
        username: goruco (0.165359)                  repo: mschrag/speedlimit (5.3%)
        username: bjoernknafla (0.165105)            repo: fredreichbier/ooc-uriparser (5.3%)
        username: homakov (0.164778)                 repo: titanous/mailman (5.3%)
        username: sco (0.164546)                     repo: fredreichbier/reincarnate (5.3%)
        username: daveverwer (0.164133)              repo: ofmlabs/jsmad (5.3%)
        username: fizx (0.163615)                    repo: takuma104/ntlniph (5.3%)
        username: sunlightlabs (0.163458)            repo: sstephenson/sprockets (5.3%)
        username: nikitachernov (0.163176)           repo: pjhyett/github-services (5.3%)
        username: mazenovi (0.163176)                repo: nilium/ooc-sdl (5.3%)
        username: jeannie (0.163176)                 repo: showstopper/corootines (5.3%)
        username: cylence (0.163176)                 repo: mojombo/grit (5.3%)
        username: Amrykid (0.162636)                 repo: defunkt/cijoe (5.3%)
        username: joshski (0.161977)                 repo: visionmedia/git-extras (5.3%)
        username: peterc (0.161852)                  repo: justinfrench/formtastic (5.3%)
        username: gf3 (0.160359)                     repo: Caged/gitnub (5.3%)
        username: carlosbrando (0.160046)            repo: protocool/AckMate (5.3%)
        username: NoH (0.158279)                     repo: jquery/jquery (5.3%)

