CLUSTER 0
 - members:
        username: richhickey (1.000000)                 repo: joyent/node (118)
        username: dockpanelsuite (0.163176)             repo: robmckinnon/rugalytics (14)
        username: pastaclub (0.163176)                  repo: stevenbristol/lovd-by-less (14)
        username: rsim (0.163176)                       repo: josevalim/rails-footnotes (14)
        username: leachim6 (0.163176)                   repo: devinross/tapkulibrary (14)
        username: starapor (0.163176)                   repo: macournoyer/invisible (14)
        username: jeannie (0.163176)                    repo: vangberg/isaac (14)
        username: cylence (0.163176)                    repo: josh/rack-openid (14)
        username: MayDaniel (0.163113)                  repo: quicksilver/Quicksilver (14)
        username: corbanbrook (0.163110)                repo: cloudhead/cradle (14)
        username: kig (0.163008)                        repo: SFEley/candy (14)
        username: yugui (0.162973)                      repo: creationix/nvm (14)
        username: appcelerator (0.162833)               repo: brixen/poetics (14)
        username: brown (0.162806)                      repo: sck/localmemcache (14)
        username: marshall (0.162748)                   repo: hij1nx/weld (14)
        username: samth (0.162681)                      repo: ffi/ffi (14)
        username: NZKoz (0.162679)                      repo: mattwynne/ssh-forever (14)
        username: Amrykid (0.162636)                    repo: gilesbowkett/archaeopteryx (14)
        username: chadcrowell (0.162618)                repo: luislavena/rb-readline (14)
        username: GarrettS (0.162455)                   repo: spastorino/rails-api (14)
        username: takeoutweight (0.162359)              repo: tenderlove/mechanize (14)
        username: sbfaulkner (0.162322)                 repo: mikeal/request (14)
        username: migueldeicaza (0.162154)              repo: troessner/reek (14)
        username: Sutto (0.162040)                      repo: tpope/vim-pathogen (14)
        username: wess (0.161995)                       repo: mperham/memcache-client (14)
        username: joshski (0.161977)                    repo: scrod/nv (14)
        username: austinhaas (0.161963)                 repo: datamapper/dm-core (13)
        username: freakboy3742 (0.161943)               repo: fnando/recurrence (13)
        username: drewr (0.161904)                      repo: jnewland/sinatra-rubygems (13)
        username: mletterle (0.161874)                  repo: rizqme/chain.js (13)
        username: peterc (0.161852)                     repo: ariya/esprima (13)
        username: eentzel (0.161761)                    repo: mauricemach/zappa (13)
        username: zynga (0.161725)                      repo: drbrain/strace_me (13)
        username: ultraninja (0.161674)                 repo: remy/jsconsole (13)
        username: kzk (0.161648)                        repo: Caged/lighthouse-api (13)
        username: benstein (0.161486)                   repo: jedi4ever/veewee (13)
        username: ithinkihaveacat (0.161485)            repo: georgi/rack_dav (13)
        username: nyaxt (0.161116)                      repo: creationix/haml-js (13)
        username: Tigger65 (0.161053)                   repo: macournoyer/thin_async (13)
        username: bobbysmith007 (0.160987)              repo: mootools/mootools-core (13)
        username: gf3 (0.160359)                        repo: peritor/happening (13)
        username: dgrijalva (0.160080)                  repo: macourtney/Conjure (13)
        username: LauJensen (0.160079)                  repo: aanand/git-up (13)
        username: carlosbrando (0.160046)               repo: strobecorp/kirk (13)
        username: daviddavis (0.159725)                 repo: cheald/scrap (13)
        username: nacht (0.159663)                      repo: voxdolo/decent_exposure (13)
        username: scgilardi (0.159638)                  repo: benprew/pony (13)
        username: snapframework (0.159508)              repo: remy/nodemon (13)
        username: citizen428 (0.159448)                 repo: nakajima/sinatras-hat (13)
        username: chrisdone (0.159264)                  repo: technoweenie/mephisto (13)
        username: Cam1337 (0.159154)                    repo: square/SocketRocket (13)
        username: brentonashworth (0.158398)            repo: FooBarWidget/daemon_controller (13)
        username: NoH (0.158279)                        repo: macournoyer/rbv8 (13)
        username: hpoydar (0.157975)                    repo: macournoyer/ruby_http_parser (13)
        username: kselden (0.157869)                    repo: samizdatco/arbor (13)
        username: moocode (0.157869)                    repo: pelle/oauth (13)
        username: mattray (0.157869)                    repo: masterkain/macruby (13)
        username: kelseyhightower (0.157869)            repo: mschrag/speedlimit (13)
        username: lrbalt (0.157869)                     repo: square/KIF (13)
        username: tchaffee (0.157869)                   repo: headius/ruby-atomic (13)
        username: virtualfunction (0.157869)            repo: jferris/config_files (13)
        username: ganly (0.157869)                      repo: klacke/yaws (13)
        username: trisberg (0.157869)                   repo: jchris/couchapp (13)
        username: calvis (0.157849)                     repo: ChiperSoft/Kalendae (13)
        username: Araq (0.157443)                       repo: drnic/tabtab (13)
        username: rosado (0.156820)                     repo: derekcollison/nats (13)
        username: tomfaulhaber (0.156671)               repo: dakrone/cheshire (13)
        username: raek (0.156660)                       repo: toastdriven/itty (13)
        username: duckduckgo (0.156119)                 repo: evanphx/kpeg (13)
        username: timcowlishaw (0.156100)               repo: tobie/pdoc (13)
        username: flipflop (0.156100)                   repo: mojodna/switchboard (13)
        username: rosejn (0.155748)                     repo: judofyr/temple (13)
        username: jochu (0.154935)                      repo: renee-project/renee (13)
        username: tcrayford (0.154772)                  repo: bumptech/stud (13)
        username: egamble (0.154685)                    repo: bitly/data_hacks (13)
        username: jColeChanged (0.154685)               repo: mozilla/chromeless (13)
        username: bengl3rt (0.154685)                   repo: edavis10/redmine (13)
        username: ordnungswidrig (0.154331)             repo: tpope/pickler (13)
        username: ppierre (0.153848)                    repo: sickill/git-dude (13)
        username: petems (0.153093)                     repo: cldwalker/ripl (13)
        username: Chousuke (0.152563)                   repo: maccman/macgap (13)
        username: olibye (0.150706)                     repo: marijnh/CodeMirror2 (13)
        username: mkelley33 (0.149909)                  repo: mfp/extprot (13)
        username: feiphoon (0.149909)                   repo: pure/pure (13)
        username: mziaja (0.149850)                     repo: auser/beehive (13)
        username: tonysoper (0.149850)                  repo: halayli/lthread (13)
        username: tonyxyz (0.149850)                    repo: frenchy64/typed-clojure (13)
        username: cpoo22 (0.149850)                     repo: toastdriven/django-tastypie (13)
        username: ant0 (0.149850)                       repo: akka/akka (13)
        username: benashford (0.149850)                 repo: heroku/heroku (13)
        username: m336fnr (0.149850)                    repo: philc/vimium (13)
        username: Licenser (0.149415)                   repo: dennisreimann/ioctocat (13)
        username: AlexBaranosky (0.148931)              repo: defunkt/tomdoc (13)
        username: daveray (0.147670)                    repo: rnewson/couchdb-lucene (13)
        username: hdurer (0.146418)                     repo: quirkey/swinger (13)
        username: wlangstroth (0.146172)                repo: schacon/why_i_love_github (13)
        username: vu3rdd (0.145955)                     repo: msanders/snipmate.vim (13)
        username: sergey-miryanov (0.145855)            repo: andymccurdy/redis-py (13)
        username: talios (0.145580)                     repo: zolrath/wemux (13)
        username: joshrotenberg (0.145263)              repo: fnando/kitabu (13)
        username: RubyKoder (0.145133)                  repo: strangeloop/clojurewest2012-slides (13)
        username: paulbutcher (0.145133)                repo: mmower/spike (13)
        username: tpaul09 (0.145133)                    repo: collectiveidea/graticule (13)
        username: rogerrohrbach (0.145133)              repo: felixge/node-mysql (13)
        username: pusewicz (0.145133)                   repo: tenderlove/taka (13)
        username: anthonylongland (0.145133)            repo: tolmasky/language (13)
        username: elixir-lang (0.144982)                repo: engineyard/eycap (13)
        username: benares98 (0.144982)                  repo: Caged/httpriot (13)
        username: nuclearsandwich (0.144982)            repo: adobe/brackets (13)

